feedback_id,examples,confidence
6315ri,What do you need help with?: I would like a customer support technician to call me as my email address is incorrect. <NUMBER>,0.9921168684959412
ux0dnw,"What do you need help with?: This is my business account, but I'm having issues with my personal account and have reached out several times with no resolution. I can sign in on my phone, but on my laptop it says their is no account associated with that email. But I'm getting billed or Canva Pro and would very much like to use it. Email <EMAIL> PW 3xACharm! Last invoice 1/29 #<NUMBER>Please advice.",0.9613820314407349
qdls4m,"What kind of problem?: Other

Describe your issue: I would like to pay for this before the trial expires. Please charge my card that I have on file. If there are any problems please feel free to call me at <NUMBER>or please send an email at <EMAIL>",0.9534797668457031
5gnyqp,"What kind of problem?: Other

Describe your issue: I need help with my Subscription. Please contact me via email at <EMAIL> Thank you",0.9485876560211182
2o4csr,"What kind of problem?: Other

Describe your issue: Ok first of all, this is my second time having a problem with canva and it would be much easier if you had a customer service line because sitting and waiting for an email back is extremely nerve wracking when I have multiple deadlines. 
My problem right now is that I paid for canva pro with this account, same email, same password, but it says I don't have canva pro, and all my designs are gone. When I made this account, I signed up through Apple ID, so I tried logging in through my phone but it's the same there too. I didn't make a second account and the last time I made a payment was December 28, 2020 and the email was sent to the same email that is attached to this account. Please help me get my designs back.",0.9432457685470581
r6SrGIzuEm6W5Knv,"Good Afternoon Canva!

 

I have spent a substantial amount of time searching for a telephone number in which to speak directly to Customer Service. I placed a ‘ticket’ in November of 2020 stating I didn’t have access to my Canva account which I had paid a year subscription in August 2020 for. I am sending a second email from my new work address in hopes that I can get some assistance with this issue. I looked for the original email that I sent and unfortunately I have deleted it. So, once again, here is the detailed information that you ask for. I ask that either someone call me on my mobile, as seen in my signature or give me clear direction. I never received a response after submitting my detailed info.

 

I would like to use this subscription since it is costly for my new job and personal use. If I cannot, I would like an reimbursement and even though this has been an arduous process, I would sign-up for your services with a new account.

 

Possible email addresses my account could be under:

* <EMAIL>

* <EMAIL>

* <EMAIL>

 

Last document made:

* I believe one of the last documents I made was a Fall Needs List for the ACS Hope Lodge (it was fall themed background)

 

Transaction on VISA CC:

CANVA*<NUMBER>

HTTPSCANVA.CO, DE <NUMBER>US

 

Purchased: Thu, Aug 6, 2020

Posted: Fri, Aug 7, 2020

 

Charge: $119.40

 

I would like this resolved ASAP! PLEASE let me know what steps I need to take to accomplish this. I love Canva, but have not been fully pleased with your customer service.

 

In Kindness,

 

<NAME> A. <NAME>

Program Coordinator 1

2195 Harrodsburg Road

Lexington, KY 40504

Office: (859) <NUMBER>

Mobile: (859)) <NUMBER>

<EMAIL>",0.9368051886558533
bkxtp6,"What kind of problem ?: Other. Describe the problem: Hello Canva team, We are looking for a particular kitesurfer photo and cannot find it. Can you please help us. We urgently need the photo. My contact details: by email<EMAIL> or call 07162/<NUMBER>I look forward to receiving a quick response. Thanks in advance. Sincerely, Suzana Bosancic",0.928494930267334
l71e9x,What kind of problem ?: Other Describe your problem: contact me at the correct address<EMAIL>,0.9264113903045654
p16k7u,"What kind of problem?: Other

Describe your issue: im waqnting to close an old account as the email adress is not added in the contact properly. can you contact me back on this email please.....  <EMAIL>",0.9138268828392029
0t3wak,"What kind of problem?: Other

Describe your issue: Have to say you possibly have the worst customer service I have ever experienced on the Internet. 

I have been requesting for assistance for the past 3 months to have my email account address updated as I no longer have access tot he previous account and none of my former passwords seems to be working.

I have asked to be contacted at <EMAIL> My former email address is <EMAIL>

Sure hope there is a human listening that can assist me. This experience has been beyond painful.",0.9115402698516846
enylae,"What kind of problem?: Other

Describe your issue: I need to speak to someone. The email address tied to this account (which I cannot change) *CANNOT EMAIL OUT* - every time I get a response from Canva, I can't answer it. Every time I email a response from my personal work email, it goes unanswered.

Can someone please tell me how to interact back and forth with a customer service representative because my inquiries are not being understood on my initial response and I cannot email back. 

Thank you.",0.9011445045471191
ekr8my,What kind of problem are you reporting ?: Other Describe the problem: Please contact me<EMAIL>,0.8893016576766968
6ev9gn,"What kind of problem?: Other

Describe your issue: I have paid for my canva pro membership for the year but you are billing me monthly too - please can someone contact me to discuss. My email is <EMAIL>",0.8884175419807434
qr7ij3,"What kind of problem?: Other

Describe your issue: How can we email you?",0.8864827156066895
imvok2,"What kind of problem?: Other

Describe your issue: Hi, Checking in to see if anyone has had time to read my request and get back with me. My account email is <EMAIL> I have a copyright question. Thank you.",0.8710276484489441
laq0e5,"What do you need help with?: I need the name and email of ANY real person that works for Canva. It's ridiculous that you don't have contact info anywhere on this site. I've submitted several forms asking for this because I need it in order to purchase Canva for my company. Please provide any contact name and email so I can FINALLY purchase. 

Thanks,
Geneva Warren
<EMAIL>",0.8708310723304749
h1byl5,"What kind of problem?: Other

Describe your issue: Please email me back regarding a billing issue! Thank you!",0.8701686859130859
a4e6ed,"What do you need help with ?: No nereague on your side to my emails. I am interested in a Pro account - Elementary school, free. I have already sent the employment contract. Can anyone call me? <NUMBER>,<EMAIL>",0.8568493127822876
2jxrmd,"What kind of problem?: Other

Describe your issue: I am still having issues resolving a billing/invoice issue and would like to speak with somebody. I have sent multiple emails from my account: <EMAIL>",0.8478869199752808
kyi430,"What kind of problem?: Other

Describe your issue: Hi. I’d like to learn more about how we can use Canva for my office! Can I set up a phone call to discuss the features of Canva? I am wondering, also, if canva can help us place our logo on a background for a <NAME> video, as we have a green screen. Thanks! Please email me at <EMAIL>",0.8388907313346863
ehafmv,"What kind of problem?: Other

Describe your issue: I don’t even have a Canva account and have been receiving unauthorized charges to my paypal. I checked and I am not associated with your app or website by my phone number or any email with which I could have signed up inadvertently for a free trial. I have been charged three times now. My email address is <EMAIL> Please advice. Thanks
Valerie Murphy",0.8203470706939697
1nr58u,"What kind of problem ?: Other Describe your problem: Hi, I am using the free trial days, after which I am not willing to pay the subscription, it is too expensive for me. I receive your emails, but I don't know who to contact to avoid problems, in fact, emails cannot be answered and there is no clear way to communicate with customer assistance. I hope you receive this message from me. I am waiting for confirmation. Barbara Gottardi",0.8134754300117493
urjfyo,"What did you have a problem with?: Canva Pro

Describe your issue: Also the email you are using for me is not correct I no longer use this email",0.8015975952148438
p97o9w,"What kind of problem?: Other

Describe your issue: This is now the third inquiry I have raised with Canva, and my issue has not been resolved. My name is <NAME> Sanchez, my email is <EMAIL> I was charged on January 4th, 2021 $130.04 (ORDER ID: MQ5DNZF8FJ, billed to my card ending in ...8359) for a yearly Canva Pro subscription and the Pro features have still not been activated on my account. I am beyond frustrated with the lack of helpful responses to this issue. Please direct me to a phone number I can call or to someone who can resolve this issue. I have responded to each email from your team requesting additional information from me, almost immediately, and then nothing further has been communicated to me. Again, I need this issue resolved.",0.7972933053970337
tmhiar,"What kind of problem?: Other

Describe your issue: I can't contact anyone at canva. I am receiving two separate monthly charges on two accounts from canva. Please call me at <NUMBER>or email me at my work email <EMAIL> to figure out this situation. No ""help guides"" on your site have been helpful in identifying which email addresses are tied to my debit and credit card charges.",0.7927104830741882
qn3vfv,"What kind of problem?: Other

Describe your issue: please contact me concerning my canva pro account which has ""dissapeared""?! maybe because I changed my email address? And because I created a team? 
I signed and paid a pro account end june 2020 under <EMAIL> T. 0033 (0)<NUMBER>. Please help me, <NAME>",0.7883456349372864
tl9j8v,"What kind of problem?: Other

Describe your issue: Hello, my friend have created an account with an active subscription but he have forgot his account password and email. He has entered a wrong email when creating email. Please advise",0.7859962582588196
57d5by,"What kind of problem?: Other

Describe your issue: I was charged $29 and want a refund. Please contact me at <EMAIL> today! No one got back to me in my prior attempts to get this taken care of and you don't have an email or phone number that is easy to access. so lame",0.7850716710090637
m1jlma,"What kind of problem?: Other

Describe your issue: I no longer use the associated email for my pro account",0.7762232422828674
e8aum3,What do you need help with?: I want to raise a complaint. Please send a contact email address for your complaints department,0.7675870656967163
oaxbq4,"What kind of problem?: Other

Describe your issue: If I no longer use this email how can you contact me? Please email <EMAIL>",0.7652056813240051
g4x3kh,"What kind of problem?: Other

Describe your issue: Unable to contact Canva by email
please provide an address to  <EMAIL>    thanks",0.7594543099403381
ronwnXc5Rhu6uxHp,"<NAME>,


Thank you for taking my call. This still isn’t resolved. Like I mentioned on the phone the old manager is causing our company lots of problems at the moment and his cell number is tied to the account so every time we try to log in it sends him a text with a code and he won’t of course send us the codes so we are unable to use the product with my login <EMAIL> The number needs to be changed to <NUMBER>. If there is anyone internal you can send this to I’d really appreciate it.

 

Best,

 

<NAME>

 

From: <NAME> <EMAIL>
Sent: Monday, January 4, <NUMBER>:03 PM
To: '<NAME> Alizadeh' <EMAIL>
Cc: <EMAIL> <EMAIL>
Subject: RE: Your Canva for Enterprise Inquiry

 

<NAME>,

 

We currently have an account and I’ve updated the email address on it to be mine. The problem is every time I logon or do anything it sends a text with a code to the old manager who is no longer with us. If the telephone number cannot be updated I won’t really continue using the product. Please let me know what can be done. The updated number should be <NUMBER>.

 

Thanks so much,

 

 

 

<NAME> (He/him/his)

Director of Operations/GM

 

Phone 504.525.<NUMBER>Mobile 504.452.9433

Fax 504.566.1835

909 Bourbon Street, New Orleans, LA 70116

 

 

 

 

 

 

 

From: <NAME> Alizadeh <EMAIL>
Sent: Monday, January 4, <NUMBER>:39 PM
To: <NAME> <EMAIL>
Subject: Your Canva for Enterprise Inquiry

 

Hi <NAME>,

 

Thanks for reaching out to Canva! I wanted to introduce myself as your point of contact here - I specialize in our Canva for Enterprise (<URL>  solution. Howdy from Austin, TX!

 

We help large teams like Realty Austin (<URL>  support over 550 Agents to design on-brand content at speed while reducing designers' and marketers' admin burden. Does this sound like a problem you’re solving for? 

 

If you are interested in understanding how Canva can transform your branding and content strategy at Wood Enterprises, please let me know and we can book a time to connect over the phone.

 

If you find your inquiry relates to something else, I've listed some helpful resources below. 

 

Canva Help Topics:

* For billing inquiries and technical issues: <EMAIL>

* For k-12 programs: Canva for Education Information (<URL>

* For Canva Pro FAQ's: Canva Pro Overview (<URL>

Thank you!

 

<NAME>

 

<NAME> Alizadeh

Business Development Representative, Canva

C: (310) <NUMBER>| E: <EMAIL>

 

Empowering the world to design

Share accurate information on COVID-19 and spread messages of support to your community.

Here are some resources (<URL> that can help.",0.7537766695022583
kgdyf3,"What kind of problem?: Other

Describe your issue: Trying to change my email address on your site is really quite difficult. I have been attempting to contact customer service with no avail. I do not have access to my previous email address and I login through Facebook and I do not recall my current password. My current email address is <EMAIL>",0.7517858147621155
goc2mw,"What kind of problem?: Other

Describe your issue: Hello, my request from earlier this week has not been addressed. Please see my email from Tuesday, January 19th for more details.",0.7516472935676575
imm2ia,"What kind of problem?: Other

Describe your issue: Hi- my company blocks emails from your site  so i can't  confirm my account or reset my password. Would I be able to change my account to a personal email?",0.7475268244743347
s9gm7a,"What kind of problem?: Other

Describe your issue: I am the Division of Student Affairs IT Analyst at Texas A&M  University and we have some stakeholders using both Canva and Canva Pro, However, we need compliance documentation for accessibility (VPAT or and Accessibility Statement) and IT Security Documents such as a HECVAT. I would love to chat with someone more about this, please call me at <NUMBER>or email me at <EMAIL>",0.7467581033706665
