feedback_id,examples,confidence
jo2d3l,"What kind of problem is it ?: How to save Describe the problem: I finished my infographic, how do I save it?",0.9793723225593567
7x9yvp,Describe your problem: I made an infographic for my study program. Where can I find it when I close the program? What kind of problem ?: Save,0.9387331604957581
0nhg0w,What type of problem is it ?: Saving Describe the problem: I cannot find my last infographic made,0.937042236328125
j0e5n8,What kind of problem is it ?: How to save Describe the problem: I don't know how to save my infographic,0.9327866435050964
l53u1g,What type of problem is it ?: Saving Describe the problem: I do not know saved my last work of an infographic,0.9283944964408875
cfqbu1,What type of problem is it ?: How to save Describe the problem: it does not save the infographic on the computer,0.9201797246932983
4rm36u,What type of problem is it ?: Saving Describe the problem: I made an infographic and when I looked for it it was not,0.9195320010185242
qtjtao,What kind of problem is it ?: How to save Describe the problem: how do I save the infographic,0.9148283004760742
loo24v,Describe the problem: I don't know how to save my infographic. What kind of problem is it ?: How to save,0.9134576916694641
k7w47t,"What kind of problem?: Saving

Describe your issue: A infographic i created is not in my designs",0.8987265229225159
rc2q1s,"What kind of problem?: Saving

Describe your issue: I cant save my infographic design. When I check it on my gallery it’s cut !!!!!",0.8864913582801819
xm67i1,"What type of problem is it ?: Other Describe the problem: Hello, I can't edit a job I was doing, an infographic, I can't find a solution.",0.8024023771286011
w3uhty,Describe the problem: I can't find the design of an infographic that I made. What kind of problem is it ?: Others,0.7763689160346985
4xi3ta,"What kind of problem is it ?: Saving Describe the problem: I made an infographic and then added a template and everything above was deleted, undoing the changes does not allow me to return to the previous info",0.7210259437561035
aflvut,What type of problem is it ?: Others Describe the problem: I want to edit my infographic and clicking on what I want to edit returns me to the home page,0.6257444620132446
677d5e,"What is your problem with ?: saving Describe the problem: I am working with an infographic, how can I save what has already been done? I accidentally press a key and everything disappears ...",0.6207157373428345
ikhbav,"What kind of problem is it ?: How to save Describe the problem: I had an infographic made and by mistake I changed the template and my previous work was not saved, can it be recovered?",0.6070006489753723
q3wokl,"What type of problem ?: Other Describe your problem: Hello, I created a chronological infographic, I tried to move up and down the points, for the dates, but, nothing to do, the whole line goes down or the point grew / Shrunk. I've been trying it for at least 1 hour. <NAME>",0.5491818785667419
flkos5,"What kind of problem?: Saving

Describe your issue: My students are working on an infographic and whenever they go to copy and paste their project into our team template, a pop up shows ""saving error"" and their work won't save.",0.4808254539966583
u987kw,"What kind of problem?: Other

Describe your issue: I am not able to move anything in an infographic after some time. It was working fine at first but after some time it stopped editing.",0.3807443678379059
rhdgbu,What kind of problem is it ?: Other Describe the problem: I select a template to edit an infographic and it does not allow me to edit.,0.288627564907074
fjqmsk,What kind of problem is it ?: Others Describe the problem: correct an infographic I downloaded,0.20210246741771698
