feedback_id,examples,confidence
u0fbs2,"What kind of problem?: Saving

Describe your issue: From yesterday i am trying to save and it is not happening",0.9854206442832947
oro842,"Describe your issue: save to another file extension


What kind of problem?: Saving",0.9852420687675476
oybl2g,What kind of problem is it ?: How to save Describe the problem: I DO NOT REMEMBER HOW TO SAVE,0.9850378632545471
2eemeh,"What kind of problem ?: Save Describe your problem: If I save, it will save it incorrectly.",0.9840041995048523
384oap,Explain your problem: save as What kind of problem ?: Do not save,0.9838670492172241
jvfwqm,Explain your problem: I'm having trouble saving. What kind of problem ?: Don't save,0.9836222529411316
vamiji,"What kind of problem?: Saving

Describe your issue: Finding hard to save",0.9831872582435608
49l2p6,What kind of problem is it ?: Saving Describe the problem: not saving correctly,0.9817935228347778
1l1kg9,What's the problem ?: save Describe your problem: how to save the result,0.9815185070037842
hrdf89,"What kind of problem?: Saving

Describe your issue: Whenever I save my design, it does not save it as it looks... before I save it, it looks great and everything is where its supposed to be, but the saved image is messed up.. the words are overlapping and sized wrong.",0.9814460873603821
93oxg3,"What kind of problem?: Saving

Describe your issue: save thumbnail",0.9806897044181824
gj6ce4,Explain your problem: When saving is not what I want it to be. What kind of problem is there ?: Don't save,0.9804004430770874
16qxff,"What kind of problem is it ?: How to save Describe the problem: I don't know if my file has been saved, I would like to ask how I can verify that, thank you",0.9797825217247009
qg1yjk,What kind of problem is it ?: How to save Describe the problem: render to save,0.9796091914176941
o0720y,What problem ?: Save Describe the problem: save interrupted,0.9793110489845276
queesa,Describe the problem: how to save the 54 * 94 form? What is your problem with ?: saving,0.9777550101280212
qf5qyk,What's the problem ?: save Describe your problem: The result is different from what I made,0.9772197604179382
5ey2sm,"What kind of problem?: Saving

Describe your issue: do not auto save",0.9764832258224487
04o9kg,What kind of problem is it ?: How to save Describe the problem: How to save to my word files,0.9758383631706238
rybhwx,"What kind of problem?: Saving

Describe your issue: It doesnt save",0.9750583171844482
rhiwb3,What kind of problem ?: Saving in progress Describe your problem: Hello when we create a post or a poster and when we work on a project the system does not keep the images and when you return to the program it shows only a blank sheet ... you could kindly give us feedback? thanks,0.9749059081077576
62vwo1,What kind of problem is it? : Explanation of save problem: Data shifts when saving,0.9748284220695496
mlsb9e,What kind of problem is it ?: How to save Describe the problem: The modifications I am making are not saved.,0.9747990369796753
uwq4b4,"What kind of problem?: Saving

Describe your issue: Its not gonna save",0.9747275710105896
o8str2,"What kind of problem?: Saving

Describe your issue: It will not save...I have followed all the troubleshooting advice and it does not fix the problem. PLESSE HELP!",0.9745994210243225
2fspcc,"Describe the problem: I want to save it as a work file, what to do? What kind of problem is it: other.",0.9728066325187683
cxn7yg,What kind of problem is it ?: Saving Describe the problem: Not saving in high resolution,0.9724141955375671
hj0781,What kind of problem are you reporting ?: saving Describe the problem: I cannot find the save option,0.972076952457428
j6la28,"What kind of problem?: Saving

Describe your issue: Didn’t save",0.9718260169029236
dfeesk,What kind of problem is it ?: How to save Describe the problem: HOW TO SAVE FOR FREE,0.9716010093688965
3dhkkj,"What kind of problem ?: Other Describe the problem: Hello, unfortunately I can no longer edit my design. After I call it the error message ""Unfortunately, the design could not be saved"" appears. I have the option of a) closing or b) saving. Closing does not help, because it is closed and saving leads to an endless loop, as the window keeps popping up after pressing ""save"". What can I do? thank you and best regards, <NAME>",0.9714956879615784
9qd22r,"Describe your issue: How do I save while making another

What kind of problem?: Saving",0.9703159928321838
o0l6kt,"What kind of problem?: Saving

Describe your issue: Dont save",0.9699503779411316
jm72c5,"What kind of problem is it? : Explanation of save problem: ""The created design could not be saved"" is displayed and cannot be edited. We apologize for the inconvenience, but we would appreciate it if you could teach us.",0.9697831869125366
p69yu1,"What is the type of problem ?: saving Describe the problem: when saving, the design is completely out of line, out of line",0.969572126865387
11rjru,What's the problem ?: save Describe your problem: noon. I have a problem when the save results are messy. but my edits are neat,0.969142735004425
61x2ch,"What is the type of problem ?: saving Describe the problem: When I save my artwork, the attached things change direction. In other words, the art is perfect, but after being saved it is all messed up.",0.9687701463699341
xi002w,"What kind of problem?: Saving

Describe your issue: i cant save just the sheet",0.9687345623970032
ayynnk,"What kind of problem?: Saving

Describe your issue: How to save as word Doc",0.9682396054267883
0qkhls,"What kind of problem?: Saving

Describe your issue: Can I turn off auto saving",0.9677579402923584
5n0088,"What kind of problem ?: Saving Describe the problem: When I save a gif, many frames are saved, not the whole thing as a single GIF file. Why is that? Thanks and LG Madlen",0.9676459431648254
sficjc,"What kind of problem?: Saving

Describe your issue: Tried multiple types....when I try to save, the saved file gets blurred",0.9673526287078857
8ki1r2,Describe the problem: How to save to usb What kind of problem is it ?: How to save,0.9669522047042847
enku4f,What is your problem with ?: saving Describe the problem .: Waiting for an answer!,0.9663745760917664
kxc2tr,What kind of problem ?: Saving in progress Describe your problem: Hi saves me with a bad definition ilmvideo,0.9663460850715637
j5d4is,What kind of problem is it ?: Saving Describe the problem: How can I save a draft?,0.9660213589668274
h25g50,What's the problem ?: save Describe your problem: Why is it so small after saving?,0.9654467105865479
fn68yn,"What kind of problem?: Saving

Describe your issue: My saved mp4 is not including music.",0.9650043249130249
9d6d2k,"What kind of problem?: Saving

Describe your issue: can you save it yourself instead of automatic saving",0.9641550779342651
qh7buv,"What kind of problem?: Saving

Describe your issue: Not saving in high resolution",0.9641313552856445
eosu0f,What kind of problem is it ?: Saving Describe the problem: How can I save my file and then finish it,0.9637749791145325
n95ry0,"What kind of problem?: Saving

Describe your issue: an error occured while saving my design. need to submit it tonight. please respond asap. please",0.9635447263717651
hflagd,What kind of problem is it: Saving. Describe the problem: Job not saved.,0.9634943008422852
vh54he,What kind of problem is it? : Explanation of save problem: Cannot,0.9631836414337158
p87ppi,"What kind of problem?: Saving

Describe your issue: save but have not see profile",0.9626297950744629
093xfx,What kind of problem is there ?: Save Describe your problem: fix it that fucking saving problem !!!,0.9626220464706421
imcywp,What kind of problem is it ?: Saving Describes the problem: it is not saved as shown in the application,0.9623060822486877
q9y2fp,"What kind of problem?: Saving

Describe your issue: Hello, I am currently working on a poster and a notification frequently pops up that tells me my changes are not saved. The poster is titled ""COVID Poster,"" if that helps.",0.9621114134788513
g4hddv,"Describe your issue: save slides as one file 

What kind of problem?: Saving",0.9615583419799805
10fje2,"What kind of problem?: Saving

Describe your issue: Some files I am working with refuse to save.",0.9613311290740967
3io9gv,What is your problem with ?: saving Describe the problem: Shit ate with these saves,0.9611504673957825
98a8fa,"What kind of problem?: Saving

Describe your issue: I just put final touch on my doc but I cannot save. Last version saved was ""21 hours ago""
Please help save hours of work. thx",0.9598909616470337
6tfimp,"What kind of problem?: Saving

Describe your issue: How do I create multiple versions of the same post.. there is no 'save as'",0.9588533639907837
djx3jf,"What kind of problem?: Saving

Describe your issue: To disable auto save",0.9586934447288513
o0gl1s,What kind of problem is it ?: Saving Describe the problem: I don't understand,0.9584318995475769
ja4ivv,"What is the type of problem ?: saving Describe the problem: After I finish my design I save it without difficulty, but the work is all out of place, words on top of each other, everything I put straight is crooked. What should I do?",0.9575443267822266
92a4u8,"What kind of problem?: Saving

Describe your issue: My workbooks won’t save it’s urgent",0.9574292302131653
